--- OpenAI-ES Training Log for Bypass=False ---
Gen 0 (ES) | Pop: 128 | Sigma: 0.150 | Time: 5.97s | Cur: 86.72W (S:5.00%) | Std: 21.59 | Best: 86.72W
Gen 28 (ES) | Pop: 128 | Sigma: 0.209 | Time: 4.68s | Cur: 72.26W (S:4.17%) | Std: 12.41 | Best: 72.26W
Gen 29 (ES) | Pop: 128 | Sigma: 0.213 | Time: 4.49s | Cur: 72.26W (S:4.17%) | Std: 12.07 | Best: 72.26W
Gen 30 (ES) | Pop: 128 | Sigma: 0.218 | Time: 4.62s | Cur: 72.26W (S:4.17%) | Std: 14.80 | Best: 72.26W
Gen 31 (ES) | Pop: 128 | Sigma: 0.222 | Time: 4.68s | Cur: 72.26W (S:4.17%) | Std: 12.99 | Best: 72.26W
Gen 32 (ES) | Pop: 128 | Sigma: 0.226 | Time: 4.68s | Cur: 72.26W (S:4.17%) | Std: 14.10 | Best: 72.26W
Gen 33 (ES) | Pop: 128 | Sigma: 0.231 | Time: 4.69s | Cur: 72.26W (S:4.17%) | Std: 12.58 | Best: 72.26W
Gen 34 (ES) | Pop: 128 | Sigma: 0.236 | Time: 4.68s | Cur: 72.26W (S:4.17%) | Std: 13.58 | Best: 72.26W
Gen 35 (ES) | Pop: 128 | Sigma: 0.240 | Time: 4.78s | Cur: 72.26W (S:4.17%) | Std: 10.86 | Best: 72.26W
Gen 36 (ES) | Pop: 128 | Sigma: 0.245 | Time: 4.88s | Cur: 72.26W (S:4.17%) | Std: 8.41 | Best: 72.26W
Gen 37 (ES) | Pop: 128 | Sigma: 0.250 | Time: 5.07s | Cur: 72.26W (S:4.17%) | Std: 10.15 | Best: 72.26W
Gen 38 (ES) | Pop: 128 | Sigma: 0.250 | Time: 4.87s | Cur: 72.26W (S:4.17%) | Std: 12.06 | Best: 72.26W
Gen 39 (ES) | Pop: 128 | Sigma: 0.250 | Time: 4.71s | Cur: 72.26W (S:4.17%) | Std: 14.74 | Best: 72.26W
Gen 40 (ES) | Pop: 128 | Sigma: 0.250 | Time: 5.01s | Cur: 72.26W (S:4.17%) | Std: 10.21 | Best: 72.26W
Gen 41 (ES) | Pop: 128 | Sigma: 0.250 | Time: 4.84s | Cur: 72.26W (S:4.17%) | Std: 12.71 | Best: 72.26W
Gen 42 (ES) | Pop: 128 | Sigma: 0.250 | Time: 4.81s | Cur: 72.26W (S:4.17%) | Std: 12.62 | Best: 72.26W
Gen 43 (ES) | Pop: 128 | Sigma: 0.250 | Time: 4.90s | Cur: 72.26W (S:4.17%) | Std: 10.56 | Best: 72.26W
Gen 44 (ES) | Pop: 128 | Sigma: 0.250 | Time: 4.96s | Cur: 72.26W (S:4.17%) | Std: 9.80 | Best: 72.26W
Gen 45 (ES) | Pop: 128 | Sigma: 0.250 | Time: 4.83s | Cur: 72.26W (S:4.17%) | Std: 9.59 | Best: 72.26W
Gen 46 (ES) | Pop: 128 | Sigma: 0.150 | Time: 4.61s | Cur: 79.49W (S:4.58%) | Std: 22.50 | Best: 72.26W
Gen 47 (ES) | Pop: 128 | Sigma: 0.153 | Time: 4.34s | Cur: 72.26W (S:4.17%) | Std: 26.72 | Best: 72.26W
Gen 48 (ES) | Pop: 128 | Sigma: 0.156 | Time: 4.33s | Cur: 79.49W (S:4.58%) | Std: 19.96 | Best: 72.26W
Gen 49 (ES) | Pop: 128 | Sigma: 0.159 | Time: 4.50s | Cur: 79.49W (S:4.58%) | Std: 21.80 | Best: 72.26W
